measure_id,level_code,level_label,min_score,max_score,color_hex,icon_name,description,sort_order
defe,green,Green,0,39.99,#9FDD49,face-smile,"다른 보육교직원에 비해 방어성이 낮다고 응답하였습니다. 즉, 이 검사문항을 실시함에 있어서 솔직하고 성실하게 응답한 것으로 보여집니다. 자신의 약점이나 실수, 사회적으로 바람직하지 않은",1
defe,yellow,Yellow,40,64.99,#FFC94D,face-neutral,"다른 보육교직원과 비교하여 보통의 방어성을 보이는 것으로 응답하였습니다. 즉, 이 검사 문항을 실시함에 있어서 결과를 의식하여 자신을 좋게 보이기 위해 약간 신경을 썼을 수 있겠으나 크게",2
defe,red,Red,65,100,#F25C4A,face-frown,"다른 보육교직원에 비해 방어성이 높다고 응답하였습니다. 즉, 이 검사 문항을 실시함에 있어서 결과를 의식하여 자신을 좋게 보이기 위해 상당히 신경을 썼을 수 있겠습니다. 자신의 약점이나",3
clim,green,Green,0,39.99,#9FDD49,face-smile,"다른 보육교직원에 비해 조직풍토를 높다(긍정적이다)고 응답하였습니다. 즉, 개인적인 일이나 기관에서의 업무 그리고 반에서 진행되는 일과와 활동에 대해 교사들 간 원만한 소통이 이뤄진다고",1
clim,yellow,Yellow,40,64.99,#FFC94D,face-neutral,"다른 보육교직원과 비교하여 조직풍토를 보통으로 응답하였습니다. 즉, 개인적인 일이나 기관에서의 업무 그리고 반에서 진행되는 일과와 활동에 대해 교사들 간 원만한 소통이 이뤄지기도 하지만, 간혹",2
clim,red,Red,65,100,#F25C4A,face-frown,"다른 보육교직원에 비해 조직풍토를 낮다(부정적으로)고 응답하였습니다. 즉, 개인적인 일이나 기관에서의 업무 그리고 반에서 진행되는 일과와 활동에 대해 교사들 간 원만한 소통이 거의",3
auto,green,Green,0,39.99,#9FDD49,face-smile,"다른 보육교직원에 비해 직무자율성이 높다고 응답하였습니다. 따라서 어린이집 일과 관련하여 주요 결정을 스스로 내릴 수 있고, 일을 할 때도 허락이나 눈치를 보지 않고 해나갈 수 있다고 생각할 수",1
auto,yellow,Yellow,40,64.99,#FFC94D,face-neutral,"다른 보육교직원에 비해 자신의 직무자율성이 보통이라고 응답하였습니다. 대체로 어린이집 일과 관련하여 주요 결정을 스스로 내리지만 간혹 그러기 어려울 때가 있고, 일을 할 때 허락을 받아야 할",2
auto,red,Red,65,100,#F25C4A,face-frown,"다른 보육교직원에 비해 자신의 직무자율성이 낮다고 응답하였습니다. 따라서 어린이집 일과 관련하여 거의 항상 주요 결정을 스스로 내릴 수 없고, 일을 할 때 매번 허락을 받아야 할 것으로 생",3
stre,green,Green,0,39.99,#9FDD49,face-smile,"다른 보육교직원에 비해 직무스트레스가 낮다고 응답하였습니다. 따라서 사회적인 인식, 기관장의 기관 운영 방식, 어린이집에서 해야 할 업무에 대한 요구, 학부모와 동료 교사와의 관계, CCTV로",1
stre,yellow,Yellow,40,64.99,#FFC94D,face-neutral,"다른 보육교직원에 비해 직무스트레스가 보통이라고 응답하였습니다. 따라서 사회적인 인식, 기관장의 기관 운영 방식, 어린이집에서 해야 할 업무에 대한 요구, 학부모와 동료 교사와의 관계,",2
stre,red,Red,65,100,#F25C4A,face-frown,"다른 보육교직원에 비해 직무스트레스가 높다고 응답하였습니다. 따라서 사회적인 인식, 기관장의 기관 운영 방식, 어린이집에서 해야 할 업무에 대한 요구, 학부모와 동료 교사와의 관계, CCTV로",3
turn,green,Green,0,39.99,#9FDD49,face-smile,"다른 보육교직원에 비해 이직의도가 낮다고 응답하였습니다. 따라서, 현재 근무하고 있는 어린이집을 그만둘 의사가 낮을 수 있겠습니다. 또한 어린이집 업무와 개인적인 생활(가정, 여가 등) 간 적절한",1
turn,yellow,Yellow,40,64.99,#FFC94D,face-neutral,"다른 보육교직원에 비해 이직의도가 보통이라고 응답하였습니다. 따라서, 현재 근무하고 있는 어린이집을 그만두고 싶은 마음이 때때로 생길 수도 있겠습니다. 또한 어린이집 업무와 개인적인",2
turn,red,Red,65,100,#F25C4A,face-frown,"다른 보육교직원에 비해 이직의도가 높다고 응답하였습니다. 따라서, 현재 근무하고 있는 어린이집을 그만두고 싶은 마음이 자주 생길 수 있겠습니다. 또한 어린이집 업무와 개인적인 생활(가정, 여가",3
burn,green,Green,0,39.99,#9FDD49,face-smile,"다른 보육교직원에 비해 직무소진이 높지 않다고 응답하였습니다. 즉, 어린이집 일이나 환경 때문에 심리적/신체적으로 힘들거나 정서적으로 지쳤다고 보고하지는 않으셨습니다. 그렇지만 누구든지",1
burn,yellow,Yellow,40,64.99,#FFC94D,face-neutral,"다른 보육교직원에 비해 직무소진이 보통이라고 응답하였습니다. 즉, 어린이집 일이나 환경 때문에 심리적/신체적으로 힘들고 정서적으로도 지치는 때가 있을 가능성이 있습니다. 영유아, 학부모 및 동",2
burn,red,Red,65,100,#F25C4A,face-frown,"다른 보육교직원에 비해 직무소진이 높다고 응답하였습니다. 즉, 어린이집 일이나 환경 때문에 심리적/신체적으로 많이 힘들고 정서적으로도 매우 지쳐있을 가능성이 있습니다. 영유아, 학부모 및",3
cons,green,Green,0,39.99,#9FDD49,face-smile,"다른 보육교직원에 비해 성실성이 높다고 응답하였습니다. 따라서 자신에게 주어진 일을 부지런히, 꾸준하게 해낼 수 있으며, 어려움이 있더라도 끝까지 해낼 수 있을 것으로 예상됩니다.",1
cons,yellow,Yellow,40,64.99,#FFC94D,face-neutral,"다른 보육교직원에 비해 성실성이 보통이라고 응답하였습니다. 따라서 자신에게 주어진 일을 대체로 부지런히, 꾸준하게 하나 가끔 어려움이 있으면 포기하거나 변경하고 싶을 것으로 예상됩니다.",2
cons,red,Red,65,100,#F25C4A,face-frown,"다른 보육교직원에 비해 성실성이 낮다고 응답하였습니다. 따라서 자신에게 주어진 일을 완수하기 어 려워하며, 어려움이 있으면 쉽게 포기하거나 변경할 것으로 예상됩니다.",3
agre,green,Green,0,39.99,#9FDD49,face-smile,다른 보육교직원에 비해 친화성이 높다고 응답하였습니다. 따라서 처음 보는 사람을 비롯해 다른 사람과 친하게 지낼 수 있고 여러 사람과 대화하고 교류하는 데에 어려움이 적을 것으로 예상됩니다.,1
agre,yellow,Yellow,40,64.99,#FFC94D,face-neutral,"다른 보육교직원과 비교하여 친화성이 보통이라고 응답하였습니다. 따라서 다른 사람과 두루 친하게 지내다가도 소수의 사람들과 갖는 친밀한 관계가 더 선호되기도 하고, 새로운 사람과 친해지는데 약",2
agre,red,Red,65,100,#F25C4A,face-frown,다른 보육교직원에 비해 친화성이 낮다고 응답하였습니다. 따라서 다른 사람과 두루 친하게 지내거나 여러 사람과 대화하고 사귀는 데에 어려움이 꽤 클 수 있어 보입니다. 대인관계의 폭이 좁을 수,3
opti,green,Green,0,39.99,#9FDD49,face-smile,"다른 보육교직원에 비해 낙관성이 높다고 응답하였습니다. 따라서 자신이 하는 일이 앞으로 잘될 것이라고 예상하고, 현재 힘든 상황에 처해 있어도 좋은 면을 쉽게 찾을 수 있을 것으로 예상됩니다.",1
opti,yellow,Yellow,40,64.99,#FFC94D,face-neutral,"다른 보육교직원과 비교하여 낙관성이 보통이라고 응답하였습니다. 따라서 자신이 하는 일이 앞으로 잘될 것이라고 예상할 때도 있으나, 힘든 상황에서 좋은 면을 생각하기 어려울 때도 있을 것으로",2
opti,red,Red,65,100,#F25C4A,face-frown,"다른 보육교직원에 비해 낙관성이 낮다고 응답하였습니다. 따라서 자신이 하는 일이 앞으로 잘될 것이라고 예상하거나, 힘든 상황에서 좋은 면을 생각하기 매우 어려울 것으로 예상됩니다. 또한 나쁜",3
para,green,Green,0,39.99,#9FDD49,face-smile,"다른 보육교직원에 비해 편집성이 낮다고 응답하였습니다. 따라서 대인관계에서 타인의 말과 행동의 의도를 오해, 왜곡하거나 다른 사람을 믿지 못하는 경향성이 낮을 것으로 예상됩니다.",1
para,yellow,Yellow,40,64.99,#FFC94D,face-neutral,"다른 보육교직원과 비교하여 편집성이 보통이라고 응답하였습니다. 따라서 대인관계에서 타인의 말과 행동의 의도를 오해, 왜곡하거나 다른 사람을 믿지 못하는 경향성을 가끔 보일 것으로 예상됩니다.",2
para,red,Red,65,100,#F25C4A,face-frown,"다른 보육교직원에 비해 편집성이 높다고 응답하였습니다. 따라서 대인관계에서 타인의 말과 행동의 의도를 오해, 왜곡하거나 다른 사람을 믿지 못하는 경향성을 자주 보일 것으로 예상됩니다.",3
avoi,green,Green,0,39.99,#9FDD49,face-smile,"다른 보육교직원에 비해 회피성이 낮다고 응답하였습니다. 따라서 자신의 선택이나 결정에 자신감이 없거나 익숙하지 않은 상황, 스트레스가 되는 대인관계 상황을 피하거나 외면하는 경향성이 적을 것",1
avoi,yellow,Yellow,40,64.99,#FFC94D,face-neutral,"다른 보육교직원과 비교하여 회피성이 보통이라고 응답하였습니다. 따라서 자신의 선택이나 결정에 가끔은 자신감이 없을 수 있고, 익숙하지 않은 상황, 스트레스가 되는 대인관계 상황에서는 이를 피",2
avoi,red,Red,65,100,#F25C4A,face-frown,"다른 보육교직원에 비해 회피성이 높다고 응답하였습니다. 따라서 자신의 선택이나 결정에 자신감이 없을 때가 자주 있겠고 익숙하지 않은 상황, 스트레스가 되는 대인관계 상황을 피하거나 외면하는 경",3
aggr,green,Green,0,39.99,#9FDD49,face-smile,다른 보육교직원에 비해 공격성이 낮다고 응답하였습니다. 따라서 상대가 자신의 의견과 다르거나 자신의 방식대로 따라 주지 않아도 의도적으로 무시하거나 화를 내고 다투는 방식으로 행동할 가능성,1
aggr,yellow,Yellow,40,64.99,#FFC94D,face-neutral,다른 보육교직원과 비교하여 공격성이 보통이라고 응답하였습니다. 따라서 일상 생활에서 큰 문제가 될 만큼의 공격성을 표현할 가능성이 상대적으로 높지는 않겠지만 일부 경우에 가끔은 상대가 자신의,2
aggr,red,Red,65,100,#F25C4A,face-frown,다른 보육교직원에 비해 공격성이 높다고 응답하였습니다. 따라서 상대가 자신의 의견과 다르거나 자신의 방식대로 따라 주지 않을 때 상대를 의도적으로 무시하거나 화를 내고 다투는 식으로 행동할,3
